"from" "to"
1034 851
732 736
160 701
1015 1085
69 692
91 243
1104 351
579 68
1048 1111
385 197
245 83
383 765
962 192
314 476
6 377
945 1064
184 190
670 216
306 58
402 104
894 641
309 737
929 186
270 661
1092 52
538 301
651 929
499 247
1084 688
250 115
842 1043
907 508
687 401
572 390
473 12
535 954
109 780
839 515
390 485
954 897
954 34
197 300
710 373
211 448
214 221
469 470
1075 1074
34 454
85 76
100 11
841 91
933 78
478 777
706 182
1104 233
371 1048
483 892
999 334
1097 709
737 643
1054 782
701 603
382 255
255 925
1039 57
57 646
248 306
985 562
496 498
766 980
252 105
844 217
915 778
733 221
6 195
295 239
205 376
980 26
648 633
376 964
448 508
977 683
603 1015
961 1007
756 601
815 503
664 745
994 333
991 896
683 7
7 756
731 165
10 902
493 705
176 991
402 754
470 472
418 984
598 48
1117 1118
2 428
118 232
574 384
242 788
549 665
681 698
720 20
720 482
1042 718
198 868
816 536
96 29
273 939
987 242
486 522
361 493
1075 732
366 489
869 476
85 705
421 53
474 916
368 715
357 380
501 50
386 676
540 613
486 949
698 681
52 848
1088 473
521 715
357 381
884 416
193 383
128 475
93 524
462 170
388 248
358 1014
718 205
53 303
602 728
1050 606
899 715
1101 920
913 420
499 65
786 807
911 39
778 1042
1034 583
333 712
802 495
832 680
619 897
1045 514
514 343
810 281
1000 841
914 838
1078 13
190 1005
718 779
23 773
268 908
623 622
192 1121
332 821
1085 204
185 192
1014 889
153 136
711 855
232 1122
352 332
1081 1052
870 998
933 268
500 650
472 171
337 685
587 219
96 868
316 10
217 667
186 841
282 659
281 193
932 816
504 556
1093 250
220 1001
163 263
801 1025
1068 594
782 685
484 845
20 180
228 693
929 11
825 834
424 186
888 887
476 688
684 268
174 1078
171 45
45 529
263 310
1000 869
387 773
239 515
556 716
322 653
483 426
101 657
622 723
698 469
531 963
345 445
530 862
305 304
796 201
650 25
813 438
377 753
753 956
463 1031
858 118
216 965
896 938
157 13
925 503
924 1028
367 735
282 741
325 1082
952 178
65 136
34 687
983 888
445 829
282 345
273 489
528 744
535 207
1002 1054
721 483
970 322
202 470
212 596
341 137
679 824
703 296
697 924
840 620
923 43
561 365
412 399
358 359
263 513
539 219
921 12
884 865
300 197
231 612
276 304
823 161
252 361
672 175
890 250
80 554
65 137
317 860
196 642
404 102
682 1005
1043 977
738 867
263 163
1069 803
237 602
725 269
742 506
539 540
841 660
2 152
538 46
426 493
684 166
279 566
657 126
741 282
936 578
759 750
662 803
137 341
197 388
997 862
23 723
999 992
325 474
921 736
781 1014
692 158
105 438
61 751
1028 488
177 507
559 499
967 966
308 626
304 696
926 435
415 414
387 1103
572 214
144 1008
627 28
428 442
666 1034
140 424
1023 220
1066 798
346 505
285 637
1104 284
127 516
707 775
860 319
568 73
947 1023
577 415
109 1049
120 437
607 116
187 607
537 996
3 830
840 587
165 416
843 638
176 958
132 619
5 567
419 484
125 810
745 33
907 177
240 917
886 944
978 120
655 162
1082 101
78 672
405 829
716 421
792 1031
304 305
1008 697
851 70
23 65
254 498
633 507
751 276
351 944
194 855
1095 786
707 128
148 1094
890 1093
187 1103
866 1060
1111 982
862 530
981 1042
591 530
1007 876
73 868
888 655
1105 937
187 130
552 709
418 811
492 312
862 776
1105 166
414 646
30 939
287 120
112 373
884 991
910 616
71 789
612 618
581 582
392 981
678 987
501 438
710 542
247 499
592 482
406 407
210 1003
209 856
553 625
569 450
174 1053
629 321
231 405
380 836
100 140
485 549
285 843
106 1067
208 957
83 254
693 235
135 423
691 675
984 732
20 169
465 1012
399 923
998 1023
131 67
1080 131
269 466
294 1019
54 303
82 651
68 273
270 235
458 561
697 985
635 1088
36 317
558 898
235 672
836 386
968 456
455 67
489 872
1061 982
735 1012
583 375
807 1097
884 165
499 559
851 255
379 43
303 625
464 832
833 1068
362 1045
365 561
156 324
505 913
1012 735
359 1096
661 64
326 384
17 1088
192 302
1074 490
711 456
454 535
26 58
835 740
381 592
744 55
1001 929
708 766
416 189
246 81
229 856
195 405
788 801
916 325
319 61
479 945
1077 217
927 516
568 975
811 401
931 620
345 282
488 648
1010 492
51 487
660 739
1112 968
849 243
814 813
1117 237
71 1084
86 276
693 933
615 778
645 403
968 641
223 809
963 248
454 34
710 234
1122 285
451 70
46 1098
554 208
329 306
966 289
180 344
414 415
662 114
556 499
1067 859
120 287
1009 325
640 1070
118 809
1060 333
1114 121
106 1106
13 150
423 683
527 113
113 362
1065 740
962 1121
1040 366
365 59
466 546
57 938
889 59
449 24
652 598
442 356
500 637
664 1038
757 554
351 792
224 345
709 708
724 276
641 968
508 558
39 962
668 825
194 593
115 669
379 461
876 629
897 619
114 47
47 498
816 961
395 596
614 978
405 224
947 347
195 135
803 662
939 273
894 1112
888 983
282 679
294 385
1017 436
64 461
913 1107
916 474
504 1104
795 714
949 775
1098 506
160 125
322 707
683 18
898 783
769 619
735 736
412 621
307 120
802 872
343 729
149 1009
81 894
473 465
114 662
794 814
225 443
414 859
314 99
835 379
783 782
464 288
55 212
1059 762
302 666
134 168
195 231
762 906
366 1040
27 1101
301 1080
520 5
939 880
613 308
1052 596
24 909
1053 285
720 36
445 225
1074 401
234 659
1111 582
392 52
44 686
221 994
374 834
167 287
1080 604
547 593
872 941
958 910
965 796
151 62
29 431
704 830
999 311
832 634
909 1049
45 861
115 528
216 749
200 681
773 727
577 922
172 157
744 153
617 1090
650 153
22 399
335 959
66 700
1086 789
644 221
648 665
1025 771
109 634
1116 96
1109 1069
688 447
141 369
986 834
334 987
747 681
203 141
958 1090
808 350
615 397
995 154
191 331
985 1008
89 404
328 508
969 476
761 440
594 895
636 909
864 1115
746 870
965 749
1027 853
133 973
297 192
60 647
414 577
213 441
691 1061
132 673
333 787
475 559
77 261
230 824
19 156
121 274
495 494
341 758
887 888
704 290
429 579
246 1040
893 960
808 764
273 1055
22 526
238 45
794 793
393 842
845 588
931 967
1024 670
741 679
868 96
350 681
406 8
150 151
316 523
861 56
705 515
1061 655
865 884
858 809
595 276
867 738
557 888
299 275
203 582
530 591
457 578
407 794
833 371
524 590
522 650
557 141
76 834
642 382
174 172
839 705
169 412
327 506
54 247
291 29
549 145
394 1119
278 110
928 992
994 1060
1024 216
644 354
736 735
549 485
222 632
972 520
1068 895
7 409
284 937
806 928
719 115
1107 525
787 631
189 407
888 557
145 41
123 124
1049 634
62 837
158 1108
290 866
616 49
821 233
1095 552
791 116
675 888
354 41
262 372
966 539
1072 618
224 829
601 355
992 976
670 1024
230 741
689 167
391 994
32 477
1096 878
959 974
431 864
457 936
396 443
754 335
1013 528
681 747
513 259
1016 505
146 338
41 354
357 1081
758 179
170 1056
289 540
512 1022
368 932
845 484
443 916
659 457
313 774
665 177
827 873
935 601
612 1072
441 244
1032 800
340 452
805 26
371 464
370 1101
110 246
274 329
1018 1026
861 238
726 717
964 117
1022 542
178 952
170 166
58 123
883 286
853 453
772 731
697 695
1072 149
149 409
313 309
299 459
496 254
655 630
370 964
564 344
990 793
1037 222
1064 945
260 411
411 1077
766 847
531 609
1092 392
1102 974
275 330
245 988
349 161
98 576
848 964
199 361
897 535
770 959
241 1050
1041 597
153 744
1046 541
481 60
728 1064
117 882
820 1120
460 623
786 1095
916 1070
560 188
581 245
545 927
234 457
70 255
850 353
213 398
519 1027
293 586
397 915
141 207
471 192
206 259
537 658
986 883
318 88
950 189
659 914
567 1018
178 1027
382 196
910 397
312 670
625 917
696 229
523 654
60 110
805 779
557 203
293 797
453 408
695 390
188 74
271 1008
567 865
937 1086
877 777
752 1107
571 430
12 921
1113 467
798 236
481 326
129 84
228 1004
919 795
196 313
625 240
577 639
785 537
226 199
969 746
875 133
593 89
509 31
577 781
88 278
909 857
557 535
791 1065
369 254
41 316
468 436
1005 49
42 84
457 659
979 120
348 647
823 959
553 1058
166 677
474 1009
233 284
1083 531
677 166
36 860
36 20
1055 30
622 460
862 997
893 87
679 282
435 534
460 873
1016 1107
298 827
474 502
458 417
1063 719
728 602
903 845
1064 728
506 348
826 861
577 184
60 481
691 812
1031 463
122 820
678 1037
502 149
803 1069
951 517
623 179
467 120
477 346
960 346
326 703
857 191
925 479
92 304
566 232
310 206
164 772
614 803
419 683
48 903
824 234
505 346
859 414
457 234
948 128
295 892
534 151
966 967
952 1106
997 926
255 294
207 47
37 1081
681 394
1101 27
452 1
1056 937
831 636
391 29
978 820
586 545
74 317
412 564
209 43
630 582
795 427
120 121
466 460
378 671
669 212
439 116
177 508
56 806
881 734
434 1057
439 434
847 718
467 468
747 702
2 905
540 539
1055 495
694 762
625 555
440 513
156 581
87 1030
136 137
734 881
639 358
381 560
1106 859
918 540
1004 170
885 77
957 885
305 760
976 311
673 183
297 755
736 921
931 146
762 672
327 413
353 130
115 1013
265 1001
124 1113
294 609
534 62
66 310
678 1024
132 363
716 53
756 842
874 948
696 671
988 451
985 342
1022 541
254 369
541 1046
895 1048
43 526
261 408
298 873
850 378
203 245
895 19
31 761
417 922
757 393
436 287
1088 465
104 132
465 327
827 511
290 738
946 408
828 42
350 808
161 1069
30 691
296 960
997 150
845 262
917 463
938 682
1115 738
546 422
764 624
520 164
444 519
654 624
225 618
738 290
215 1029
943 870
133 571
31 4
973 35
232 118
605 905
35 613
1102 104
996 537
532 1100
681 1010
526 32
757 444
1 279
623 460
773 1103
541 373
815 139
421 886
696 511
941 547
830 749
303 1103
407 958
265 932
1004 684
25 1063
792 462
1065 229
129 573
1100 754
187 555
764 200
289 966
892 839
413 318
563 591
1107 1016
789 677
1119 238
959 770
225 474
886 625
320 543
875 677
12 458
309 755
1080 517
457 563
979 978
767 467
283 798
358 1100
317 36
602 108
366 273
349 183
103 76
831 830
462 143
860 92
30 1055
150 534
1001 943
289 283
1038 568
409 1071
610 1019
167 1109
8 103
987 930
727 622
1094 443
759 621
732 863
374 1092
735 367
1114 1083
646 414
198 251
1041 524
700 241
378 1065
238 1037
993 614
1029 874
1046 600
934 25
726 952
408 946
823 689
257 12
758 256
422 298
25 719
915 1092
672 694
1003 107
1026 938
752 96
318 429
5 865
569 867
713 951
121 122
530 174
148 345
780 450
342 971
934 719
609 610
204 480
925 385
990 252
808 328
579 732
893 296
236 1006
1006 364
689 1109
494 30
479 1064
820 614
552 689
466 298
105 50
73 568
655 888
646 190
417 781
296 893
458 734
621 412
385 1019
972 107
927 182
447 338
979 803
594 471
433 769
981 392
244 37
683 612
734 458
197 945
511 827
179 256
766 767
1065 209
164 5
995 713
573 271
611 993
1010 681
1070 797
367 318
406 958
851 382
102 404
946 257
881 415
686 906
854 983
450 449
1031 1004
357 604
690 378
873 690
369 207
450 569
120 1113
863 880
1018 227
588 598
1032 1089
996 522
4 821
289 1032
318 413
355 877
480 765
287 167
532 433
249 971
364 249
765 98
542 230
1089 44
498 611
800 605
181 519
160 645
164 204
656 111
415 881
734 257
17 777
1030 344
121 1114
200 747
427 313
251 2
198 291
694 672
779 989
875 918
240 228
102 459
880 854
1120 609
372 683
774 815
179 623
717 1106
694 430
770 1095
543 597
768 851
658 656
227 726
494 1048
647 110
915 615
829 618
