"from" "to"
152 447
111 123
305 422
623 249
682 249
688 126
249 682
273 272
272 422
163 669
62 669
287 481
62 648
142 287
142 445
451 10
641 174
45 174
430 151
151 519
160 65
2 519
344 132
97 627
491 490
491 132
344 490
36 113
627 365
226 573
113 18
315 374
237 18
113 114
114 113
31 114
410 549
460 410
549 461
553 476
460 219
659 237
337 61
269 170
29 269
327 29
416 327
416 613
632 613
389 459
61 156
632 219
210 135
459 389
176 320
82 459
459 82
320 446
320 319
83 82
82 83
319 695
584 205
511 593
205 498
551 135
498 675
675 318
83 661
661 646
247 428
428 15
551 342
271 661
434 285
15 345
673 117
117 673
698 513
209 242
345 168
101 209
168 303
338 395
13 333
437 438
699 266
338 128
177 381
639 116
123 447
648 268
268 481
266 699
116 44
288 350
650 78
69 159
157 454
30 701
351 570
84 570
458 526
162 458
162 599
189 332
694 270
601 697
301 359
301 663
32 665
620 295
651 620
598 375
146 517
85 52
378 651
547 120
248 517
376 211
378 456
376 378
211 329
211 376
378 377
561 541
541 98
204 181
609 595
377 375
589 541
375 274
57 355
608 375
274 329
204 180
571 202
22 86
22 644
598 217
218 215
215 217
636 87
121 241
225 678
405 133
26 357
23 241
463 317
264 379
670 656
298 638
583 524
287 648
460 461
73 623
418 436
226 491
104 19
176 511
351 526
169 482
196 79
669 414
408 158
229 539
229 94
543 659
276 400
140 120
180 118
118 46
396 293
678 293
508 649
186 235
414 402
101 646
65 188
344 199
124 186
367 309
164 367
134 610
690 105
282 213
656 532
209 101
371 155
128 437
158 276
174 408
449 226
379 312
37 67
54 103
87 50
133 463
363 278
273 447
527 212
601 37
570 84
598 39
391 571
309 615
195 11
152 590
153 152
341 111
334 500
419 163
10 197
130 641
393 539
151 130
151 430
277 343
627 110
97 436
545 344
622 257
545 622
489 226
183 449
420 604
307 374
307 553
114 19
461 460
31 389
19 31
27 219
135 551
342 156
695 523
681 657
244 96
244 514
431 646
673 434
657 242
342 698
560 395
283 266
9 338
568 259
71 506
506 128
71 259
639 643
699 664
288 529
44 427
270 54
84 64
64 601
658 601
34 359
67 32
295 663
597 385
413 32
32 413
597 602
665 52
52 146
143 85
602 611
248 52
211 517
504 92
375 376
541 561
595 503
373 92
608 175
693 86
598 274
149 619
215 26
357 312
264 692
311 367
167 638
524 134
213 282
366 70
105 360
610 222
555 185
167 485
406 612
560 514
490 489
389 31
706 393
706 343
519 36
464 391
278 255
367 311
70 311
532 524
438 244
119 155
104 170
365 410
643 333
326 173
169 35
159 69
418 449
657 681
394 694
547 522
172 322
153 590
447 58
623 53
123 111
305 126
688 422
199 344
102 257
418 97
5 337
511 176
198 675
523 91
318 520
137 275
563 564
643 477
116 177
557 154
694 394
260 696
301 581
626 202
50 87
372 474
223 241
391 392
546 298
684 49
194 17
697 189
622 540
292 384
662 664
347 667
297 127
403 454
614 403
570 351
212 90
440 510
600 621
306 618
208 238
606 240
125 124
300 427
35 482
152 123
25 569
211 660
701 103
84 606
329 376
636 144
671 617
405 309
211 507
274 376
308 223
532 16
309 164
208 323
596 415
35 169
169 339
482 195
352 11
352 220
499 450
172 112
172 369
73 590
51 369
153 674
623 73
674 191
447 123
58 422
623 43
126 688
592 334
127 17
648 287
77 648
297 502
142 77
479 330
197 594
702 197
451 453
130 330
130 151
328 430
545 706
36 340
166 328
72 166
559 533
418 245
449 245
449 132
296 160
216 36
622 545
280 622
216 145
97 315
4 216
573 226
337 280
573 624
4 19
170 420
4 170
286 247
61 337
19 104
104 198
624 612
219 632
511 219
324 198
632 316
642 316
136 642
234 136
324 234
593 511
661 83
135 612
657 198
511 247
137 593
593 285
342 551
137 89
433 285
271 681
434 433
497 89
275 683
117 190
386 497
303 683
568 438
426 303
13 303
426 168
13 426
59 9
477 13
381 128
466 326
445 594
529 361
614 44
664 557
486 361
69 477
580 483
361 486
483 586
664 662
154 69
427 614
448 370
454 586
240 650
28 486
103 701
159 650
240 606
448 662
606 28
28 606
528 300
64 300
526 84
526 458
189 458
658 64
658 356
157 55
600 182
356 658
397 528
483 68
528 37
696 697
37 55
24 697
68 359
358 260
292 358
600 394
74 588
538 74
281 663
63 335
581 467
281 496
385 597
335 660
385 703
99 33
611 179
496 378
456 552
611 144
98 230
587 48
144 611
390 569
92 474
703 98
230 98
687 390
329 25
456 503
204 492
626 609
202 626
510 687
589 355
595 609
25 329
355 331
375 598
468 57
375 608
175 608
687 686
207 25
686 693
704 561
87 144
644 207
233 301
492 372
175 595
626 571
441 440
619 598
39 375
644 141
693 536
609 571
704 671
3 141
571 566
133 39
76 536
294 619
652 294
672 3
672 652
666 672
571 392
608 546
692 666
223 76
241 692
636 670
546 571
571 391
49 308
670 243
392 566
206 298
298 464
555 251
284 690
105 279
279 423
115 610
213 575
423 380
56 222
575 81
609 626
503 378
190 342
220 487
565 51
191 565
17 194
62 163
97 449
444 618
495 596
20 131
131 256
412 35
112 339
112 171
171 322
334 635
635 500
544 402
544 572
263 47
515 155
120 230
100 396
508 100
236 186
236 235
7 313
562 579
579 231
231 7
349 562
203 485
415 20
499 112
366 349
327 420
327 632
632 469
545 257
296 102
5 344
566 225
464 392
236 225
225 236
583 134
631 383
438 514
520 661
244 438
209 168
677 664
177 59
435 607
425 238
256 412
635 591
232 515
33 504
124 225
23 223
513 61
657 324
369 172
163 419
381 177
44 381
355 57
655 184
90 621
655 607
453 702
527 588
439 522
49 510
508 125
405 317
120 547
615 357
220 352
487 220
172 362
53 75
369 667
667 565
688 565
43 592
129 688
500 334
347 194
500 347
502 77
402 287
127 479
706 453
340 348
706 199
418 265
533 72
245 199
344 545
145 4
47 263
96 47
337 5
374 261
540 96
5 573
421 261
421 27
156 406
176 27
324 469
91 511
398 523
433 398
117 253
673 253
551 190
681 271
434 673
242 657
683 286
242 681
564 232
190 9
386 333
677 426
259 438
444 630
643 529
586 259
529 477
240 361
384 662
486 28
397 427
483 368
28 300
192 159
351 192
397 157
182 701
621 30
212 368
528 64
356 37
55 528
55 233
694 227
67 37
139 24
233 32
691 394
292 516
254 139
63 32
439 516
179 647
179 67
138 689
507 314
552 138
456 48
378 376
144 703
647 510
230 589
587 202
503 595
561 468
595 175
16 441
546 608
636 16
670 636
405 615
23 264
392 225
312 379
243 251
164 284
532 251
134 684
617 306
423 360
555 306
282 56
435 583
360 485
617 555
432 115
364 383
11 195
347 129
283 209
381 59
368 90
61 5
16 49
379 264
225 124
251 555
485 236
583 432
568 580
50 331
337 244
450 419
425 482
